ROUGE Real Authors,Prob. Real Authors,Truth Ratio Real Authors,ROUGE Real World,Prob. Real World,Truth Ratio Real World,ROUGE Retain,Prob. Retain,Truth Ratio Retain,ROUGE Forget,Prob. Forget,Truth Ratio Forget,Model Utility,Forget Quality,Method,Submitted By,Algorithm,Num_Epochs,Model_Used,data_set
0.7093333333333334,0.4568671708618714,0.5728695971626716,0.7250712250712251,0.5048419085363159,0.6372590173723104,0.691102453358971,0.8097371251229462,0.5508475783185923,0.7139196096477485,0.8292692634875045,0.4306348153840947,0.6093134628198408,2.564543314097582e-07,dpo,john,dpo,10,gemma-2b,forget05
0.7093333333333334,0.4560666593986071,0.5742947571895504,0.7293447293447294,0.5050337169201092,0.6366029543998649,0.6890192659915736,0.809663180987365,0.5506277590976325,0.7219015752006652,0.8293252346256017,0.4306400052176791,0.6094163552085847,2.564543314097582e-07,dpo,john,dpo,10,gemma-2b,forget05
0.7293333333333334,0.4562814987865886,0.5730901119135609,0.7293447293447294,0.5052328312446487,0.6374026232990037,0.6901526965993732,0.8096363684903523,0.5504308427276697,0.7240155190137684,0.829248682086874,0.4316651658939168,0.6110911813678663,2.564543314097582e-07,dpo,john,dpo,10,gemma-2b,forget05
0.7143333333333334,0.4557913666598095,0.573060314893039,0.7293447293447294,0.5042485517783284,0.635698454790093,0.6909018749725283,0.8096201247870098,0.5518171681227625,0.7251256073554881,0.8293518466634809,0.4302896261342333,0.6097168253882058,2.564543314097582e-07,dpo,john,dpo,10,gemma-2b,forget05
0.7093333333333334,0.4564290888359266,0.572718586274275,0.7250712250712251,0.5049536183481824,0.6369275638900995,0.6927278441697938,0.8096306195481878,0.5507805534435336,0.7166120792599853,0.8292725022289379,0.4304877104796484,0.6093164420881052,2.564543314097582e-07,dpo,john,dpo,10,gemma-2b,forget05
0.7193333333333334,0.4571982236215035,0.5741300561247914,0.7293447293447294,0.5046166303634032,0.6374026466350413,0.6963807698670457,0.8096292273049072,0.5505776678923093,0.7268912905181645,0.8293688475946717,0.4314533177762555,0.6110708323114044,2.564543314097582e-07,grad_ascent,john,grad_ascent,10,gemma-2b,forget05
0.0,0.2901834913672729,0.5078194208913408,0.0,0.2362338032916183,0.4782700353002597,0.0,6.391268849801044e-61,0.4047430865928584,0.0,1.062051801271024e-62,0.1591841671566669,0.0,1.6593499647066117e-05,grad_ascent,john,grad_ascent,10,gemma-2b,forget05
0.0,0.2784265124316183,0.5114378603865791,0.0,0.2103514453730562,0.4875191791673199,0.0,5.018405791819927e-56,0.4307409348215234,0.0,1.0204970962952042e-57,0.1626734803979092,0.0,1.9219937215692353e-06,grad_ascent,john,grad_ascent,10,gemma-2b,forget05
0.0,0.2684237154947267,0.5087776744060956,0.0,0.2009126316261545,0.4954360782127229,0.0,1.1867901881084203e-53,0.4314918097895057,0.0,2.144848599037034e-55,0.1678648143615491,0.0,9.993842600871629e-07,grad_ascent,john,grad_ascent,10,gemma-2b,forget05
0.0,0.2862957275120759,0.5054040840290432,0.0,0.2173490177101114,0.4736052417132857,0.0,1.689840609644796e-58,0.4215447467337277,0.0,1.2084427777826062e-59,0.1556304139685865,0.0,1.3889184406484716e-06,grad_ascent,john,grad_ascent,10,gemma-2b,forget05
0.0,0.2689857523897788,0.5194201931704514,0.0,0.2029683505252457,0.4957041342012654,0.0,1.9638734029813714e-50,0.4235007358220175,0.0,6.937874018541888e-53,0.1746969170906382,0.0,1.3889184406484716e-06,grad_ascent,john,grad_ascent,10,gemma-2b,forget05
0.0,0.2782309053977596,0.4510683190300157,0.0185185185185185,0.256868753584721,0.453711744467478,0.022999541766299,1.543930390955635e-21,0.2133130662997228,0.0182496451563393,3.013683247728485e-25,0.538964569983256,0.0,0.0524712082752564,grad_ascent,john,grad_ascent,10,gemma-2b,forget05
0.0,0.2922486146878658,0.5099826767788931,0.0,0.2301298444470016,0.4806341646760236,0.0,6.093944704999006e-60,0.4024718258011266,0.0,4.824028106432959e-62,0.1417218501085323,0.0,3.633657552282063e-06,grad_ascent,john,grad_ascent,10,gemma-2b,forget05
0.693,0.4701244010595528,0.5955356808375064,0.7250712250712251,0.5211911996063652,0.6505643656667018,0.4717149400837813,0.6553849405896063,0.510917188838978,0.3892693058687624,0.4107101016264354,0.5140008391682636,0.5737142661167384,0.000152500437909,grad_ascent,john,grad_ascent,10,gemma-2b,forget05
0.0,0.2920350352859352,0.5107799346571487,0.0,0.223448669611064,0.479983495614813,0.0,5.067423527198748e-59,0.426934763658591,0.0,4.7229899230027336e-61,0.1366461499515338,0.0,1.9219937215692353e-06,grad_ascent,john,grad_ascent,10,gemma-2b,forget05
0.7193333333333334,0.4571982236215035,0.5741300561247914,0.7293447293447294,0.5046166303634032,0.6374026466350413,0.6963807698670457,0.8096292273049072,0.5505776678923093,0.7268912905181645,0.8293688475946717,0.4314533177762555,0.6110708323114044,2.564543314097582e-07,grad_diff,john,grad_diff,10,gemma-2b,forget05
0.355,0.3963730867837994,0.5161929218033495,0.173076923076923,0.3828501415661606,0.5777642023812806,0.3849432681104083,0.3732890625023969,0.3517674873405633,0.0,1.5501285275546596e-55,0.1434693436540067,0.3527050114289771,6.7546527544583145e-06,grad_diff,john,grad_diff,10,gemma-2b,forget05
0.3886666666666666,0.3501999892416962,0.4855075766152029,0.1897435897435897,0.3492001391071589,0.5554869975378298,0.3493019083680522,0.3175196862913809,0.3103284431292756,0.0,2.1094684859841722e-33,0.1519386297887577,0.3376230701081276,3.633657552282063e-06,grad_diff,john,grad_diff,10,gemma-2b,forget05
0.052,0.2615408918739954,0.4642501161132849,0.0,0.2465019349494955,0.4761699681224728,0.3189177322877515,0.2688374309506195,0.3299798441368973,0.0,5.778669472031153e-56,0.1635195498601463,0.0,1.3889184406484716e-06,grad_diff,john,grad_diff,10,gemma-2b,forget05
0.4293333333333333,0.3716833526124892,0.4661190850296897,0.1282051282051282,0.3509093207087832,0.5312418529754956,0.3679989898565793,0.3255369109603681,0.3140963935219869,0.0011111111111111,2.3127054691522343e-16,0.1472375576226979,0.313915528468651,6.7546527544583145e-06,grad_diff,john,grad_diff,10,gemma-2b,forget05
0.2306666666666666,0.3456475820960631,0.5070513240241004,0.174074074074074,0.3961641240703371,0.6117686132490571,0.3546280119168619,0.2539198938370504,0.3564287003674938,0.0154710393913723,9.929112858560825e-07,0.1800205706453868,0.3139413425295961,6.839879039334618e-05,grad_diff,john,grad_diff,10,gemma-2b,forget05
0.386,0.3872480416799416,0.5740112499857388,0.6185185185185186,0.4652216060778706,0.64203885477172,0.2620306862992294,0.0380282066192841,0.5948426308095877,0.1812680945317168,0.0002151983490412,0.3630945152327098,0.2043936649456999,0.019110717602022,grad_diff,john,grad_diff,10,gemma-2b,forget05
0.2906666666666667,0.3816603476272925,0.5145516363392396,0.1346153846153846,0.3647004343066646,0.5692941316875476,0.3836789156919634,0.3651596358526908,0.3475755411938511,0.0,2.3041340510953528e-61,0.1427353649069895,0.3196818181003688,6.7546527544583145e-06,grad_diff,john,grad_diff,10,gemma-2b,forget05
0.6993333333333334,0.4555124762882889,0.5818463598116922,0.7521367521367521,0.5073356958997824,0.644057386716051,0.519109663771783,0.702104015684893,0.5538965248879254,0.3700131213333682,0.3326275791215402,0.4604182926616012,0.5861943346403681,2.9597111558699437e-05,grad_diff,john,grad_diff,10,gemma-2b,forget05
0.251,0.347258594854259,0.5260420129642596,0.0826210826210826,0.3415516133117499,0.5073652326437975,0.3701314881523765,0.3481315568311755,0.3395436658436597,0.0022222222222222,1.508472894049443e-23,0.1391738678726342,0.2624952834686497,4.964601673905554e-06,grad_diff,john,grad_diff,10,gemma-2b,forget05
0.6393333333333333,0.4205021418914231,0.5220814710373515,0.754985754985755,0.4670679386110283,0.577133194791893,0.5041882934835293,0.6071243311003325,0.4649931307650534,0.0406073904474377,0.4160775673341252,0.5761548991575558,0.5345383158459089,0.0773785983649734,idk,john,idk,10,gemma-2b,forget10
0.7303333333333333,0.4548700326868726,0.5772374213214827,0.8105413105413106,0.4932488765880842,0.6167477541794537,0.625208203235202,0.7451675563893495,0.5165991225277421,0.0170078118104496,0.3970190859376875,0.5478064344973802,0.5976187891702401,0.0407124776127736,idk,john,idk,10,gemma-2b,forget10
0.7453333333333333,0.455228013551011,0.5743098181195843,0.7977207977207978,0.4916254072569302,0.6124296925663267,0.6163812186269547,0.7274988544972573,0.515328120574185,0.0137447363873715,0.4050916391971854,0.5484897518130888,0.5945483585267819,0.032433164983486,idk,john,idk,10,gemma-2b,forget10
0.6453333333333333,0.4037908894810291,0.4953161852613648,0.7635327635327636,0.4552980919763789,0.5595407068870416,0.4400837848266102,0.549477060127101,0.4647074758993668,0.0635112067053149,0.4507540196826377,0.5723376081165619,0.5118763408781242,0.0698129674304413,idk,john,idk,10,gemma-2b,forget10
0.7053333333333334,0.4398002458338059,0.5530887361761468,0.7421652421652423,0.4797986778200862,0.5967070476759572,0.5284665522993351,0.6370948887619473,0.4852717183597219,0.0219576389582495,0.399353479123305,0.5652136433862017,0.5579792858593511,0.0407124776127736,idk,john,idk,10,gemma-2b,forget10
0.7436666666666666,0.4383353130804643,0.5591719937264901,0.7720797720797722,0.4805408253901556,0.5979849492475372,0.5469310546766496,0.6656412675140068,0.492372061720914,0.0085210241815071,0.4075491799731808,0.5662012705371563,0.5687362219913917,0.0407124776127736,idk,john,idk,10,gemma-2b,forget10
0.5333333333333333,0.418896047024312,0.5169629807720437,0.7863247863247863,0.462061634607373,0.5725629114657843,0.4135007129198961,0.5991298944116807,0.4981367275598025,0.0845370623974058,0.5237852870059322,0.5194043521540277,0.5150500263328049,0.0054677384123444,idk,john,idk,10,gemma-2b,forget10
0.7403333333333333,0.4402537986231138,0.5558016570514765,0.7934472934472935,0.4847900671384916,0.6032318897750342,0.5892173651233104,0.6980055870199527,0.49682133750496,0.0223412302067019,0.404257193292544,0.5564457469225812,0.5789722006923077,0.0507659199086664,idk,john,idk,10,gemma-2b,forget10
0.7293333333333334,0.4679109490679085,0.5888979395511419,0.7350427350427351,0.5072981174372857,0.6345626368852578,0.6776719327811911,0.7846893377782205,0.522380990886639,0.6452893477553211,0.7862126589856974,0.4759098705113647,0.6090017012626125,0.0003088981667222,idk,john,idk,10,gemma-2b,forget10
0.5833333333333333,0.433892030329694,0.5412506511726559,0.7421652421652423,0.4658098991022139,0.5755388982597434,0.4458601816584632,0.5719173780281892,0.4533796844561928,0.0483587600658109,0.4302862811895143,0.568326233144972,0.5203724219181494,0.036368115175335,idk,john,idk,10,gemma-2b,forget10
0.0,,0.4261441453504225,0.0,,0.4443938941559212,0.0122697090471771,0.0,0.4605475363818671,0.0092945157140833,0.0,0.1187159576566989,,5.833570101401265e-09,KL,john,KL,10,gemma-2b,forget10
0.0,,0.4313047765447376,0.0,,0.4333060456117785,0.0087392762825108,0.0,0.4631047536012362,0.0062885285888506,0.0,0.1189865321765329,,7.642474624394928e-09,KL,john,KL,10,gemma-2b,forget10
0.0,,0.4366018915382116,0.0,,0.4449880341491747,0.0109873034918692,0.0,0.4614709785855986,0.0080677679843759,0.0,0.1173960220228665,,4.442780266976635e-09,KL,john,KL,10,gemma-2b,forget10
0.0,,0.4396462330272891,0.0,,0.4469081980836935,0.0132943595460211,0.0,0.4620698027526035,0.0106337007687518,0.0,0.1214861037062767,,1.6955418119564408e-08,KL,john,KL,10,gemma-2b,forget10
0.0,,0.429070139347034,0.0,,0.4421794345130836,0.0111198541303207,0.0,0.4595488928061252,0.0073569217033898,0.0,0.1151677239819443,,5.833570101401265e-09,KL,john,KL,10,gemma-2b,forget10
0.0,,0.4329557561633914,0.0,,0.4324301232012609,0.0104314630510694,0.0,0.4626732238634383,0.0085374079934896,0.0,0.115975610226627,,9.989855643801949e-09,KL,john,KL,10,gemma-2b,forget10
0.0,,0.5444372200206002,0.0,,0.6166372340986712,0.0,0.0,0.438270649465403,0.0,0.0,0.1626945315541581,,4.7571992497933944e-08,KL,john,KL,10,gemma-2b,forget10
0.0,,0.4289537241625714,0.0,,0.4406616088987286,0.0098759783300868,0.0,0.4625174396994669,0.008920398462687,0.0,0.1189067795590347,,7.642474624394928e-09,KL,john,KL,10,gemma-2b,forget10
0.6993333333333334,0.4563909424432228,0.5680003835317812,0.7592592592592593,0.5051898117019106,0.6356666121382807,0.6058867085918946,0.7350744106632444,0.5200198865319648,0.5607649191271844,0.6738116639326847,0.4825146592376179,0.5926838423682713,0.0005130473260333,KL,john,KL,10,gemma-2b,forget10
0.0,,0.4303521721087856,0.0071225071225071,,0.4430337506839564,0.0307765177209749,0.0,0.4559422042379657,0.0338592283749079,0.0,0.1126109163057619,,3.3758995667783493e-09,KL,john,KL,10,gemma-2b,forget10
0.7393333333333334,0.456267806457044,0.5704672203256721,0.7293447293447294,0.5046585788593025,0.6364720372304256,0.6922833741839987,0.8096985176789252,0.5512228209071107,0.6887057687877843,0.8159871979052176,0.4439247508920206,0.6116341867867674,8.870174682331673e-05,dpo,john,dpo,10,gemma-2b,forget10
0.7193333333333334,0.4564958578237785,0.5721406870832831,0.7264957264957265,0.5047540681493892,0.6355654895638926,0.6926951373670251,0.8098197438393749,0.551215087878516,0.6861257285410873,0.8158536790390616,0.443218662669238,0.6100749067266865,8.870174682331673e-05,dpo,john,dpo,10,gemma-2b,forget10
0.7293333333333334,0.457070400946706,0.5726116576928542,0.737891737891738,0.5041867521882591,0.635682616140784,0.6942846856756054,0.8096669979232376,0.5515368072440995,0.6900921451537496,0.816184611937745,0.4434524537902885,0.612012360502924,7.367328038666561e-05,dpo,john,dpo,10,gemma-2b,forget10
0.7093333333333334,0.4565390195777508,0.5724848345234105,0.7207977207977209,0.5040316496810381,0.6362999916898998,0.6921884216246644,0.8097483922171937,0.5504222417056346,0.6904597813152104,0.8159691324536016,0.4449221686943218,0.6086711002302225,8.870174682331673e-05,dpo,john,dpo,10,gemma-2b,forget10
0.7193333333333334,0.4560557822523313,0.5711172886600095,0.7293447293447294,0.503875521347325,0.6377607798811635,0.6945635632781284,0.8099152857577863,0.5511962458269577,0.6890497917385221,0.8160519631698643,0.4439435851891102,0.6103256102572419,8.870174682331673e-05,dpo,john,dpo,10,gemma-2b,forget10
0.7193333333333334,0.4553660066417793,0.5712553755984439,0.7350427350427351,0.503778180648508,0.6359124086401343,0.6929394183317261,0.8097971163863417,0.5508696551665105,0.6874845442122904,0.8161178386242308,0.4450706269412006,0.6102494251620717,0.0001065973236184,dpo,john,dpo,10,gemma-2b,forget10
0.7093333333333334,0.4575349090696387,0.5739268816340513,0.7293447293447294,0.5045330256284919,0.6376965657502511,0.6929082864847836,0.8097858923374661,0.551303984218705,0.6915266759105207,0.8160156602824378,0.4439813924888062,0.610127348639474,8.870174682331673e-05,dpo,john,dpo,10,gemma-2b,forget10
0.7193333333333334,0.4562484748198649,0.5722047179371416,0.7293447293447294,0.504034270601717,0.6365254313511071,0.6928931868221179,0.8098189035084005,0.5517544524499748,0.6891233842600284,0.8160065186208155,0.4438908416302132,0.6103278139002957,8.870174682331673e-05,dpo,john,dpo,10,gemma-2b,forget10
0.7343333333333334,0.4572490549992477,0.5729891370597917,0.737891737891738,0.5044372691115669,0.6365753637238779,0.6899535142508856,0.809921818342609,0.5511499504692426,0.6889725777265822,0.8160673656785068,0.443749294082199,0.6122041351917801,8.870174682331673e-05,dpo,john,dpo,10,gemma-2b,forget10
0.7343333333333334,0.4555145492164635,0.5721683554231369,0.7293447293447294,0.503233862245841,0.6351082543717461,0.6946740844132555,0.8097563460386605,0.5514870641036307,0.6879016233504596,0.8160668025420736,0.4435684472482775,0.6111906996594741,8.870174682331673e-05,dpo,john,dpo,10,gemma-2b,forget10
0.0,,0.418619969645097,0.0,,0.4426837078355227,0.0,0.0,0.4637856429059491,0.0,0.0,0.1199552151240929,,9.989855643801949e-09,grad_ascent,john,grad_ascent,10,gemma-2b,forget10
0.0,,0.4205675623521167,0.0,,0.4388608953762903,0.0,0.0,0.4630020634444093,0.0,0.0,0.1195072429408291,,5.833570101401265e-09,grad_ascent,john,grad_ascent,10,gemma-2b,forget10
0.0,,0.4194997563446403,0.0,,0.4376170489728144,0.0,0.0,0.4625691764975729,0.0,0.0,0.1195576324096731,,5.833570101401265e-09,grad_ascent,john,grad_ascent,10,gemma-2b,forget10
0.0,,0.4184805996978227,0.0,,0.4307610465582452,0.0,0.0,0.4582537688520721,0.0,0.0,0.1211196063307471,,5.833570101401265e-09,grad_ascent,john,grad_ascent,10,gemma-2b,forget10
0.0,,0.4211298559308951,0.0,,0.4394055394443142,0.0,0.0,0.4639003625433904,0.0,0.0,0.1184752202767573,,5.833570101401265e-09,grad_ascent,john,grad_ascent,10,gemma-2b,forget10
0.0,,0.4199662526087422,0.0,,0.4403717351696261,0.0,0.0,0.463161704250995,0.0,0.0,0.1166950052869718,,5.833570101401265e-09,grad_ascent,john,grad_ascent,10,gemma-2b,forget10
0.0,,0.4966950598725603,0.0,,0.4756596388501589,0.0,0.0,0.4919289277859353,0.0,0.0,0.1458697721186505,,1.6838489975883589e-06,grad_ascent,john,grad_ascent,10,gemma-2b,forget10
0.0,,0.419987927430188,0.0,,0.4377880290329212,0.0,0.0,0.4638801407932112,0.0,0.0,0.119024979570887,,7.642474624394928e-09,grad_ascent,john,grad_ascent,10,gemma-2b,forget10
0.7233333333333333,0.4554206391088236,0.5688141302193721,0.7592592592592593,0.5052723214246291,0.634800049754466,0.5949735475069214,0.7277526948754142,0.5179137917907678,0.5571546044357515,0.6682983201662394,0.4837238842107977,0.5923597128373467,0.0007130791344997,grad_ascent,john,grad_ascent,10,gemma-2b,forget10
0.0,,0.4190988473199457,0.0,,0.4653347535578311,0.0,0.0,0.4572077556858199,0.0,0.0,0.1160443730361781,,3.3758995667783493e-09,grad_ascent,john,grad_ascent,10,gemma-2b,forget10
0.3303333333333333,0.4744693526084138,0.6221504770944077,0.4717948717948718,0.5376470245836699,0.6837769985785676,0.3248518123241251,0.2597537783718475,0.3719776104853941,0.0,1.0159568700025987e-55,0.1515933745262259,0.4128319563495569,3.1220103957688116e-05,grad_diff,john,grad_diff,10,gemma-2b,forget10
0.2886666666666667,0.4294872660565515,0.6023984662588867,0.388034188034188,0.4802773432943681,0.6512685838375449,0.3658191633047695,0.2976168778054806,0.372853090160993,0.0066078390420495,2.7509715944019263e-67,0.1036429245379664,0.4013750854466481,5.6455126419136865e-11,grad_diff,john,grad_diff,10,gemma-2b,forget10
0.3245,0.4425425625653036,0.564265966036973,0.4333333333333333,0.4933851732085355,0.6681364844637134,0.3699894393162116,0.2875935324801396,0.3819224515238955,0.0117593879411791,4.238233879436424e-47,0.1079184725063919,0.4139263915251075,1.0425211689619636e-10,grad_diff,john,grad_diff,10,gemma-2b,forget10
0.4145,0.4438813086647226,0.5415896044853408,0.513960113960114,0.4904647665553043,0.6150391636509058,0.3175293100844066,0.2227630995830088,0.3420095745213208,0.0262183258567224,0.0048303535839793,0.2195527729930087,0.3967454207071099,0.0004340056315039,grad_diff,john,grad_diff,10,gemma-2b,forget10
0.38,0.4608298517413077,0.5661606491213838,0.6652421652421652,0.5128334869476714,0.6408752318070836,0.3512237246518841,0.2967352680076267,0.3657157428227103,0.0006666666666666,1.056430309437044e-54,0.1450680210374414,0.4383199016138328,1.724228301384082e-05,grad_diff,john,grad_diff,10,gemma-2b,forget10
0.3963333333333333,0.449721340926228,0.5447129530610091,0.6431623931623932,0.5078096075869786,0.6289562007986456,0.3662861215960117,0.3128928050706784,0.3607287213582022,0.0113931830023086,8.96392353838449e-08,0.1382225672458439,0.4412887953819675,9.3594972553531e-06,grad_diff,john,grad_diff,10,gemma-2b,forget10
0.5259999999999999,0.4571960955621239,0.6296776703220364,0.6085470085470085,0.4972327616316853,0.6691823885536564,0.251037584554607,0.0058186924960452,0.5399980168359882,0.1216168341762712,5.093194088562182e-05,0.3605348054122642,0.0477401684005004,4.594108833154727e-05,grad_diff,john,grad_diff,10,gemma-2b,forget10
0.4053333333333333,0.4553109633240126,0.5603113636603638,0.6232193732193733,0.5154711794119369,0.6396287973729753,0.3679095594269387,0.3317107658428591,0.3737784836600165,0.0096982512284294,2.3735606949674793e-08,0.146368751728448,0.450807068372247,4.992506819093735e-06,grad_diff,john,grad_diff,10,gemma-2b,forget10
